facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,76530,0,0,0,-64.898124341993835,-292.89482100196341,-62.834213271007101,-301.55767195494195,0,1,1,1.8517960135416398,0,1.8517960135416398,0,0.44232804505804774,0,0,0,0
1,76531,0,0,0,-63.088958384004314,-293.28983283247885,-60.922422380173799,-301.73529492323877,0,1,1,1.851796012504878,0,1.851796012504878,0,0.26470507676120292,0,0,0,0
2,76532,0,0,0,-61.277388635059914,-293.6736698360163,-59.010119082179514,-301.87112767675484,0,1,1,1.8517960085624339,0,1.8517960085624339,0,0.12887232324516162,0,0,0,0
3,76533,0,0,0,-59.463484125514739,-294.04631738648533,-57.101370294144942,-301.96050574628998,0,1,1,1.8517959941676396,0,1.8517959941676396,0,0.039494253710017808,0,0,0,0
4,76534,0,1,1,-57.647313990989836,-294.40776128113532,-55.202501251741289,-301.99779492448283,0,1,1,1.8517959437058245,0.92589797185291223,1.8517959437058245,0.92589797185291223,0.0022050755171960645,0.00029990912290145394,0.00059981824580290777,0.27768524863464195,0.14995456145072694
5,76535,0,1,2,-55.82894750705583,-294.75798773461145,-53.293661045887184,-302.00224676708831,0,1,1,1.8517957738848958,1.8517957738848958,1.8517957738848958,1.8517957738848958,-0.0022467670883656865,0.0022467670883656865,0.0024813883246679325,2.0802768995696255,1.1233835441828433
6,76536,0,1,2,-54.008454201932182,-295.09698336026537,-51.35765989576219,-302.00208319179603,0,1,1,1.8517952252562133,1.8517952252562133,1.8517952252562133,1.8517952252562133,-0.0020831917960606461,0.0020831917960606461,0.0022233727933667069,1.9288223106190099,1.041595898030323
7,76537,0,1,2,-52.18590419488531,-295.42473511632102,-49.407306827498154,-302.0024077301976,0,1,1,1.8517935239015484,1.8517935239015484,1.8517935239015484,1.8517935239015484,-0.0024077301976035415,0.0024077301976035415,0.0024549215337970054,2.2293095936122169,1.2038650988017707
8,76538,0,1,2,-50.361369157910666,-295.74123015977284,-47.449648756232094,-302.00259274617957,0,1,1,1.8517884597336705,1.8517884597336705,1.8517884597336705,1.8517884597336705,-0.0025927461796015905,0.0025927461796015905,0.0026523738704327116,2.4006087272023939,1.2963730898007952
9,76539,0,1,2,-48.534924919295598,-296.04645546999598,-45.486008700701447,-302.00278621742495,0,1,1,1.8517739927065091,1.8517739927065091,1.8517739927065091,1.8517739927065091,-0.0027862174249833056,0.0027862174249833056,0.0028382904097838946,2.5797224828048924,1.3931087124916528
10,76540,0,1,2,-46.706658189054878,-296.34039692691499,-43.517151571998852,-302.00296228234328,0,1,1,1.8517343321668274,1.8517343321668274,1.8517343321668274,1.8517343321668274,-0.0029622823433044232,0.0029622823433044232,0.0030118604865378984,2.7426799583342003,1.4811411716522116
11,76541,0,1,2,-44.876683152082457,-296.62303716312715,-41.543360184585197,-302.0031287128615,0,1,1,1.8516299734822419,1.8516299734822419,1.8516299734822419,1.8516299734822419,-0.0031287128614962971,0.0031287128614962971,0.003175223422772433,2.8966092563829684,1.5643564307481483
12,76542,0,1,2,-43.045180506097026,-296.89435081479246,-39.564873443205329,-302.00328522798628,0,1,1,1.8513664795969405,1.8513664795969405,1.8513664795969405,1.8513664795969405,-0.0032852279863107015,0.0032852279863107015,0.00332908147447597,3.0410804858446943,1.6426139931553505
13,76543,0,1,2,-41.212484588450124,-297.1542946258644,-37.582039940123799,-302.003432786644,0,1,1,1.8507289933820825,1.8507289933820825,1.8507289933820825,1.8507289933820825,-0.0034327866439696204,0.0034327866439696204,0.0034741261865747219,3.1765788850446768,1.7163933219848102
14,76544,0,1,2,-39.379268141917308,-297.40278799596013,-35.595561985831679,-302.00357190784916,0,1,1,1.8492515642145213,1.8492515642145213,1.8492515642145213,1.8492515642145213,-0.0035719078491638356,0.0035719078491638356,0.0036108899718669818,3.3026780886481748,1.7859539245819178
15,76545,0,1,2,-37.546911555013018,-297.63967733550191,-33.606911090704976,-302.00370302979115,0,1,1,1.8459775711749735,1.8459775711749735,1.8459775711749735,1.8459775711749735,-0.003703029791154222,0.003703029791154222,0.0037397509569245813,3.41785496993172,1.851514895577111
16,76546,0,1,2,-35.718189425824157,-297.86467633116365,-31.619088598565654,-302.00382631570449,0,1,1,1.8390631006311722,1.8390631006311722,1.8390631006311722,1.8390631006311722,-0.0038263157044866603,0.0038263157044866603,0.00386077369398663,3.5184180117434929,1.9131578522433303
17,76547,0,1,2,-33.898428827269925,-298.07727799631192,-29.637907720008563,-302.00394147370639,0,1,1,1.8252291383509569,1.8252291383509569,1.8252291383509569,1.8252291383509569,-0.0039414737063907523,0.0039414737063907523,0.0039735022202762593,3.5970463284742724,1.9707368531953759
18,76548,0,1,2,-32.09721263850534,-298.27664950893364,-27.673884155551335,-302.00404763578382,0,1,1,1.7992204570737214,1.7992204570737214,1.7992204570737214,1.7992204570737214,-0.0040476357838201693,0.0040476357838201693,0.0040768999738816092,3.6412945525164377,2.0238178919100847
19,76549,0,1,2,-30.33024028031668,-298.46156764495367,-25.744313053600397,-302.00414353683288,0,1,1,1.7540392868861623,1.7540392868861623,1.7540392868861623,1.7540392868861623,-0.0041435368328279765,0.0041435368328279765,0.0041696411391853871,3.6339631957200655,2.0717684164139882
20,76550,0,1,2,-28.620177940635209,-298.63050330543649,-23.87424508678793,-302.00422816990374,0,1,1,1.6827479764382307,1.6827479764382307,1.6827479764382307,1.6827479764382307,-0.0042281699037971521,0.0042281699037971521,0.0042509285236747019,3.5574721748258433,2.1140849518985765
21,76551,0,1,2,-26.994733262842317,-298.7819581384785,-22.094403553575738,-302.00430184163815,0,1,1,1.5822351335622271,1.5822351335622271,1.5822351335622271,1.5822351335622271,-0.0043018416381528368,0.0043018416381528368,0.0043216174139502073,3.4032624894531516,2.1509208190764184
22,76552,0,1,2,-25.480772869570231,-298.91503681093161,-20.434716937684485,-302.0043660375876,0,1,1,1.4573706306076504,1.4573706306076504,1.4573706306076504,1.4573706306076504,-0.0043660375876299895,0.0043660375876299895,0.0043833253605498612,3.1814674761705111,2.1830187938149948
23,76553,0,1,2,-24.097498273546773,-299.02989119910694,-18.91676503235945,-302.00442295156239,0,1,1,1.3187060425567478,1.3187060425567478,1.3187060425567478,1.3187060425567478,-0.004422951562361277,0.004422951562361277,0.004438523088083457,2.9162864756108124,2.2114757811806389
24,76554,0,1,2,-22.851641083915023,-299.12782215431031,-17.548419718015204,-302.00447397833818,0,1,1,1.1806997776550883,1.1806997776550883,1.1806997776550883,1.1806997776550883,-0.004473978338182861,0.004473978338182861,0.0044878671351966659,2.6412126145630923,2.2369891690914305
25,76555,0,1,2,-21.738107806298075,-299.21092509509702,-16.324490233943489,-302.00451940963774,0,1,1,1.0525639895319063,1.0525639895319063,1.0525639895319063,1.0525639895319063,-0.0045194096377088044,0.0045194096377088044,0.0045317506136939301,2.3784839192978637,2.2597048188544027
